Family_ICTV	host_ICTV	size_kb_ICTV	topology_ICTV	host_ICTV_simple
Fusagraviridae	protists, fungi, plants	8.1-10.8	1 linear segment	non-vertebrates
Fusariviridae	protists, fungi	5.9-10.8	1 linear segment	non-vertebrates
Fuselloviridae	archaea	14.7-24.2	1 circular segment	archaea
Fuxiviridae	archaea	31.9-32.0	1 linear segment	archaea
Gammaflexiviridae	fungi	6.8-9.6	1 linear segment	fungi
Gammaormycoviridae	fungi	4.1-4.7	2 linear segments	fungi
Gandrviridae	invertebrates, vertebrates	5.2-9.1	1 circular segment	incl-vertebrates
Geminiviridae	plants, invertebrates	2.3-5.6	1-2 circular segments	non-vertebrates
Genomoviridae	fungi, plants, invertebrates, vertebrates	1.9-4.0	1 circular segment	incl-vertebrates
Geplanaviridae	plants, invertebrates, vertebrates	1.9-3.0	1 circular segment	incl-vertebrates
Giardiaviridae	protists	6.2-6.3	1 linear segment	protists
Globuloviridae	archaea	18.2-28.4	1 linear segment	archaea
Graaviviridae	archaea	39.7-42.3	1 linear segment	archaea
Gresnaviridae	vertebrates	18.4-18.5	1 linear segment	vertebrates
Grimontviridae	bacteria	75.1-112.2	1 linear segment	bacteria
Groupodiviridae	bacteria	4.4-4.8	1 circular segment	bacteria
Guelinviridae	bacteria	17.7-19.6	1 linear segment	bacteria
Gulliviridae	archaea	76.7-103.4	1 linear segment	archaea
Gulliviroviridae	protists	30.7-30.8	1 linear segment	protists
Guttaviridae	archaea	13.7-13.8	1 circular segment	archaea
Hadakaviridae	fungi	14.3-15.3	10-11 linear segments	fungi
Hafunaviridae	archaea	56.5-76.9	1 linear segment	archaea
Hakuzoviridae	predicted bacteria	10.5-10.6	2 linear segments	bacteria
Halicoviridae	archaea	13.5-13.6	1 segment	archaea
Haloferuviridae	archaea	35.7-38.1	1 linear segment	archaea
Halomagnusviridae	archaea	143.8-143.9	1 linear segment	archaea
Halspiviridae	archaea	14.4-14.5	1 linear segment	archaea
Hantaviridae	vertebrates	10.5-14.6	3 circular segments	vertebrates
Helgolandviridae	bacteria	37.5-37.6	1 linear segment	bacteria
Hepaciviridae	vertebrates	8.5-11.3	1 linear segment	vertebrates
Hepadnaviridae	vertebrates	3.0-3.6	1 circular segment	vertebrates
Hepeviridae	vertebrates	6.5-7.4	1 linear segment	vertebrates
Herelleviridae	bacteria	106.0-167.5	1 linear segment	bacteria
Hirszfeldviridae	bacteria	42.4-46.5	1 linear segment	bacteria
Hodgkinviridae	bacteria	52.6-56.1	1 linear segment	bacteria
